,,before,naive,educated_forward,upper_bound,produced_energy,days
house_9_6T.hdf,dishwasher_power,30.82553838167744,32.32235063577627,34.4164080546077,39.38775626481422,3361123.57466257,353.1731884057971
house_9_6T.hdf,tumble_dryer_power,30.82553838167744,31.35153472680916,32.87704628366433,35.562099294196926,3361123.57466257,353.1731884057971
house_9_6T.hdf,washing_machine_power,30.82553838167744,31.208392560353207,32.185351005839706,33.41720663409304,3361123.57466257,353.1731884057971
house_5_6T.hdf,dishwasher_power,48.408737864883435,49.929334091629954,50.677317078107585,55.77281001769756,3366526.6407054397,353.6190217391304
house_5_6T.hdf,tumble_dryer_power,48.408737864883435,48.479211925975555,49.7493786114367,53.89949318131298,3366526.6407054397,353.6190217391304
house_5_6T.hdf,washing_machine_power,48.408737864883435,48.44782739236401,49.19514989599741,51.189867248692586,3366526.6407054397,353.6190217391304
house_2_6T.hdf,dishwasher_power,27.88183678574488,28.619643332224886,32.73705829650842,36.84140098428368,3337038.5535296737,346.97735507246375
house_2_6T.hdf,washing_machine_power,27.88183678574488,28.254815718960714,29.077497491930902,30.426620036498477,3337038.5535296737,346.97735507246375
house_4_6T.hdf,washing_machine_power,32.045047143712914,32.15448473793513,32.335352932798465,32.65468332798147,3332988.2335372777,350.461463768116
house_7_6T.hdf,dishwasher_power,35.11082886931357,36.06513065835685,39.61474879437084,43.76462051379324,3321263.9516954776,350.16902173913047
house_7_6T.hdf,tumble_dryer_power,35.11082886931357,35.24105733680251,37.332258166237736,42.26389122742747,3321263.9516954776,350.16902173913047
house_7_6T.hdf,washing_machine_power,35.11082886931357,36.41946257283301,37.86579932786989,41.47451501889747,3321263.9516954776,350.16902173913047
house_1_6T.hdf,dishwasher_power,29.37819930938612,29.736079021857243,29.942826295030706,30.818560185054157,3319944.5945180105,349.0190217391305
house_1_6T.hdf,tumble_dryer_power,29.37819930938612,29.41540694236608,29.433805663402076,29.576024830196022,3319944.5945180105,349.0190217391305
house_1_6T.hdf,washing_machine_power,29.37819930938612,29.620012510949085,29.792544771236148,30.728978363939095,3319944.5945180105,349.0190217391305
house_10_6T.hdf,dishwasher_power,45.73110302769338,46.06763424499716,48.606382549252956,51.664081049682586,3347966.130414144,347.6565217391304
house_10_6T.hdf,washing_machine_power,45.73110302769338,46.07572070746631,48.347212088876496,50.79568634149365,3347966.130414144,347.6565217391304
house_8_6T.hdf,tumble_dryer_power,30.538528692075726,31.023058395295646,31.241360988214264,31.786574016510116,3360192.4405987873,351.9773550724638
house_8_6T.hdf,washing_machine_power,30.538528692075726,32.645281385844655,33.303677020882574,36.300523616822964,3360192.4405987873,351.9773550724638
house_20_6T.hdf,dishwasher_power,32.39424334156927,32.59577577884547,33.44170021178787,34.39200576039292,3366218.1403956283,354.09818840579715
house_20_6T.hdf,tumble_dryer_power,32.39424334156927,32.5240089708441,33.28743477071313,34.61006364073835,3366218.1403956283,354.09818840579715
house_20_6T.hdf,washing_machine_power,32.39424334156927,32.600800787716935,32.94576086125142,33.475431760155935,3366218.1403956283,354.09818840579715
house_6_6T.hdf,dishwasher_power,40.61349622198621,40.671937897950315,41.15120791160126,41.686149484537616,3298859.6885355017,344.7190217391305
house_6_6T.hdf,washing_machine_power,40.61349622198621,40.68226274306839,40.93532148603276,41.264480369272746,3298859.6885355017,344.7190217391305
house_18_6T.hdf,dishwasher_power,38.05687236665135,38.217902206264306,39.987623778934164,41.73454947479167,3335271.068912229,348.1773550724638
house_18_6T.hdf,tumble_dryer_power,38.05687236665135,38.057307927515126,38.12240153648016,38.20343996083913,3335271.068912229,348.1773550724638
house_18_6T.hdf,washing_machine_power,38.05687236665135,38.24711160233812,38.44812169318209,38.774908161952396,3335271.068912229,348.1773550724638
house_17_6T.hdf,tumble_dryer_power,32.88828118976848,32.91365998802934,33.069019929493265,33.79137050789528,3354548.793653109,353.2023550724638
house_17_6T.hdf,washing_machine_power,32.88828118976848,33.127212818840455,33.65456965092644,34.48085497818487,3354548.793653109,353.2023550724638
house_19_6T.hdf,washing_machine_power,24.087642362298386,24.255256586022085,24.511679951851853,25.303709433635447,3360895.0247091847,353.34818840579715
house_16_6T.hdf,dishwasher_power,38.917386311762705,39.23318204360222,42.12650533281475,44.11936912833044,2947007.795945645,318.5273550724638
house_16_6T.hdf,washing_machine_power,38.917386311762705,39.36932445652517,40.47808394468572,42.361292537683084,2947007.795945645,318.5273550724638
house_13_6T.hdf,dishwasher_power,41.663621512012796,42.447865433229005,43.621208891797195,45.8986281575657,3130461.15942961,314.7341884057971
house_13_6T.hdf,washing_machine_power,41.663621512012796,42.1588997954153,42.82663039041619,44.566796579714364,3130461.15942961,314.7341884057971
house_15_6T.hdf,dishwasher_power,22.647537703333587,22.651679327840853,22.740134328025174,22.843451330232522,3290740.194324409,340.92318840579713
house_15_6T.hdf,tumble_dryer_power,22.647537703333587,22.66667891912029,23.296843270181984,23.76439550918288,3290740.194324409,340.92318840579713
house_15_6T.hdf,washing_machine_power,22.647537703333587,23.245746212471328,23.876436903081956,25.057396321686277,3290740.194324409,340.92318840579713
